type;n;comps;swaps
randomSelect;39200;114150.4;58191.42
select;39300;373749.38;183038.22
randomSelect;39300;122856.14;60233.78
select;39400;376590.92;183897.64
randomSelect;39400;118592.32;61149.02
select;39500;376100.04;183099.96
randomSelect;39500;110320.86;56764.64
select;39600;378984.04;184206.54
randomSelect;39600;103321.12;50090.88
select;39700;379319.14;184217.96
randomSelect;39700;108771.22;55742.58
select;39800;378886.44;184393.74
randomSelect;39800;117712.22;61121.54
select;39900;383770.02;185938.5
randomSelect;39900;126297.1;63875.24
select;40000;382750.34;185564.5
randomSelect;40000;126615.5;58869.26
select;40100;379621.72;186154.08
randomSelect;40100;120138.22;57049.26
select;40200;383492.28;186743.68
randomSelect;40200;131395.76;60690.92
select;40300;386314.76;187007.64
randomSelect;40300;118879.98;57920.74
select;40400;385626.66;187475.64
randomSelect;40400;124797.34;57256.16
select;40500;382066.46;188409.06
randomSelect;40500;120746.64;56599.4
select;40600;388846.22;188983.32
randomSelect;40600;122177.54;64636.44
select;40700;390425.8;190297.46
randomSelect;40700;116026.2;57752.52
select;40800;391863.28;190644.16
randomSelect;40800;119303.38;60459.3
select;40900;387958.7;190146.82
randomSelect;40900;120204.52;59564.04
select;41000;393189.86;190307.82
randomSelect;41000;121208.74;59216.74
